,Date,IDR,USD,Euro,GBP,RMB,IHSG,Hang Seng,Nasdaq,USD/IDR
0,Dec 10 2015,14924385.0,1071.0,979.25,706.3,6894.88,4466.21,21704.61,4643.05,13935.0
1,Dec 11 2015,14958693.75,1072.5,975.27,704.92,6923.31,4393.52,21464.05,4537.56,13947.5
2,Dec 14 2015,15038289.38,1068.25,968.71,706.51,6899.93,4374.19,21309.85,4570.16,14077.5
3,Dec 15 2015,14920974.75,1061.5,971.98,705.46,6858.35,4409.17,21274.37,4597.33,14056.5
4,Dec 16 2015,15130380.38,1075.25,982.55,716.69,6960.42,4483.45,21701.21,4664.56,14069.5
5,Dec 17 2015,14698419.73,1049.4,968.62,705.12,6803.99,4555.96,21872.06,4598.14,14006.5
6,Dec 18 2015,14784687.5,1062.5,979.76,713.47,6886.59,4468.65,21755.56,4514.82,13917.5
7,Dec 21 2015,14865175.0,1078.75,988.09,724.72,6991.16,4490.68,21791.68,4560.55,13772.5
8,Dec 22 2015,14699256.16,1074.9,980.17,725.13,6964.06,4517.57,21830.02,4589.26,13675.0
9,Dec 28 2015,14581612.5,1068.25,973.66,716.92,6930.81,4557.35,21919.62,4621.35,13650.0
10,Dec 29 2015,14708522.49,1070.1,981.2,723.33,6939.81,4569.36,21999.62,4691.08,13745.0
11,Dec 30 2015,14609450.0,1060.0,971.27,714.62,6879.61,4593.01,21882.15,4652.01,13782.5
12,Jan 04 2016,15062214.38,1082.25,1001.67,736.78,7054.0,4525.92,21327.12,4497.86,13915.0
13,Jan 05 2016,14929912.5,1077.0,1004.57,735.18,7021.72,4557.82,21188.72,4484.18,13862.5
14,Jan 06 2016,15222300.14,1091.4,1015.26,747.1,7157.62,4608.98,20980.81,4443.98,13947.5
15,Jan 07 2016,15408687.58,1106.35,1021.28,759.44,7294.27,4530.45,20333.34,4305.72,13927.5
16,Jan 08 2016,15340504.59,1101.85,1010.36,757.88,7259.87,4546.29,20453.71,4270.78,13922.5
17,Jan 12 2016,15097912.64,1085.4,1002.59,755.4,7137.05,4512.53,19711.76,4333.72,13910.0
18,Jan 13 2016,15046392.77,1088.15,1002.95,753.41,7155.78,4537.18,19934.88,4183.12,13827.5
19,Jan 14 2016,15139642.64,1088.4,1004.11,756.15,7170.92,4513.18,19817.41,4272.97,13910.0
20,Jan 15 2016,15197109.38,1093.75,998.68,764.38,7204.53,4523.98,19520.77,4141.08,13894.5
21,Jan 19 2016,15077150.0,1086.25,996.7,767.99,7145.57,4491.74,19635.81,4147.07,13880.0
22,Jan 20 2016,15380430.0,1101.75,1011.06,776.59,7248.96,4427.98,18886.3,4136.28,13960.0
23,Jan 21 2016,15252315.0,1096.5,1013.07,775.68,7214.2,4414.13,18542.15,4142.6,13910.0
24,Jan 22 2016,15183062.5,1096.25,1012.75,764.74,7212.67,4456.74,19080.51,4259.77,13850.0
25,Jan 25 2016,15351306.47,1106.6,1021.56,775.64,7280.76,4505.79,19340.14,4196.53,13872.5
26,Jan 26 2016,15479037.96,1113.6,1026.5,777.41,7327.26,4510.47,18860.8,4233.85,13900.0
27,Jan 27 2016,15490759.38,1116.25,1026.82,783.0,7342.58,4583.63,19052.45,4128.86,13878.5
28,Jan 28 2016,15456193.0,1114.0,1018.33,774.23,7325.55,4602.83,19195.83,4186.06,13874.5
29,Jan 29 2016,15315042.31,1111.8,1027.49,783.79,7314.31,4615.16,19683.11,4279.17,13775.0
30,Feb 01 2016,15362643.75,1126.5,1034.1,783.82,7411.24,4624.64,19595.5,4286.56,13637.5
31,Feb 02 2016,15446343.75,1128.5,1035.27,785.15,7425.19,4587.44,19446.84,4193.1,13687.5
32,Feb 03 2016,15587640.0,1132.0,1024.48,775.85,7447.77,4596.11,18991.59,4171.97,13765.0
33,Feb 04 2016,15769721.13,1156.35,1035.23,793.13,7606.24,4665.82,19183.09,4167.77,13637.5
34,Feb 05 2016,15673516.75,1150.35,1032.31,794.22,7557.22,4798.95,19288.17,4024.47,13625.0
35,Feb 12 2016,16724227.5,1239.75,1102.59,857.54,8144.54,4714.39,18319.58,4019.19,13490.0
36,Feb 16 2016,16207300.0,1209.5,1085.29,845.27,7878.44,4745.0,19122.08,4104.33,13400.0
37,Feb 17 2016,16347100.0,1210.0,1086.81,845.09,7896.46,4765.51,18924.57,4199.1,13510.0
38,Feb 18 2016,16339373.27,1210.1,1090.23,842.45,7887.19,4778.79,19363.08,4151.49,13495.0
39,Feb 19 2016,16614367.93,1231.15,1108.5,862.94,8027.22,4697.56,19285.5,4164.09,13495.0
40,Feb 22 2016,16272812.5,1211.0,1098.16,856.8,7894.75,4708.62,19464.09,4231.27,13437.5
41,Feb 23 2016,16396621.78,1221.35,1107.9,865.96,7971.14,4654.05,19414.78,4162.54,13425.0
42,Feb 24 2016,16775684.38,1250.75,1134.78,897.72,8171.15,4657.72,19192.45,4200.66,13412.5
43,Feb 25 2016,16575378.0,1236.0,1120.28,886.28,8076.15,4658.32,18888.75,4241.06,13410.5
44,Feb 26 2016,16398305.0,1226.5,1122.5,884.73,8017.75,4733.15,19364.15,4235.62,13370.0
45,Feb 29 2016,16513081.49,1234.9,1136.53,886.12,8085.01,4770.96,19111.93,4201.12,13372.0
46,Mar 01 2016,16507275.0,1236.5,1138.63,888.19,8095.61,4779.98,19407.46,4333.61,13350.0
47,Mar 02 2016,16468967.35,1239.2,1144.44,881.05,8118.49,4836.2,20003.49,4334.39,13290.0
