Date,Open,High,Low,Close,Adj Close,Volume
1997-02-06,23250000,23250000,22750000,22750000,21129181,4100
1997-02-07,22750000,22750000,22250000,22250000,20664801,19100
1997-02-10,22750000,22750000,21875000,21875000,20316509,9700
1997-02-11,21875000,22500000,18250000,18500000,17181967,651000
1997-02-12,19125000,20000000,18750000,19375000,17994629,287400
1997-02-13,19625000,21875000,19625000,21500000,19968237,64900
1997-02-14,21625000,21625000,21125000,21500000,19968237,9600
1997-02-18,21500000,22500000,21125000,22000000,20432615,31600
1997-02-19,21750000,21875000,21750000,21750000,20200424,16400
1997-02-20,21750000,21750000,21375000,21375000,19852142,10200
1997-02-21,21750000,21750000,21250000,21250000,19736048,3100
1997-02-24,21375000,21500000,21375000,21375000,19852142,4900
1997-02-25,21750000,21875000,21500000,21875000,20316509,24900
1997-02-26,21875000,21875000,21500000,21625000,20084320,3300
1997-02-27,21625000,21625000,21000000,21000000,19503860,30500
1997-02-28,20750000,21000000,20625000,21000000,19503860,800
1997-03-03,21000000,21000000,20250000,20500000,19039478,12000
1997-03-04,20500000,20500000,20250000,20250000,18807285,4600
1997-03-05,20500000,20500000,20000000,20125000,18691198,6400
1997-03-06,19750000,20500000,19750000,20000000,18575102,7000
1997-03-07,20125000,20125000,19750000,19750000,18342907,9300
1997-03-10,19875000,20000000,19750000,19750000,18342907,8300
1997-03-11,20000000,20000000,19750000,20000000,18575102,5600
1997-03-12,20000000,20000000,19500000,19625000,18226814,19500
1997-03-13,19875000,19875000,19250000,19250000,17878536,31400
1997-03-14,19250000,19625000,19125000,19250000,17878536,5100
1997-03-17,19000000,19375000,19000000,19375000,17994629,6500
1997-03-18,19250000,19500000,19000000,19250000,17878536,5200
1997-03-19,19000000,19500000,19000000,19062500,17704391,8500
1997-03-20,19000000,19250000,19000000,19250000,17878536,1300
1997-03-21,19000000,19500000,19000000,19250000,17878536,12400
1997-03-24,19000000,19500000,19000000,19250000,17878536,1300
1997-03-25,19000000,19000000,19000000,19000000,17646347,900
1997-03-26,19500000,19500000,19000000,19500000,18110723,12500
1997-03-27,19000000,19500000,19000000,19125000,17762440,2000
1997-03-31,19500000,19500000,19125000,19125000,17762440,400
1997-04-01,19000000,19500000,19000000,19500000,18110723,9700
1997-04-02,19500000,19500000,18625000,18750000,17414162,29700
1997-04-03,19000000,19000000,18625000,19000000,17646347,6100
1997-04-04,19000000,19000000,18625000,18625000,17298063,15600
1997-04-07,19000000,19000000,18625000,18750000,17414162,6500
1997-04-08,18500000,18625000,18250000,18250000,16949781,8700
1997-04-09,18250000,18750000,18250000,18375000,17065874,21700
1997-04-10,18875000,18875000,18375000,18875000,17530249,900
1997-04-11,18875000,18875000,18375000,18875000,17530249,19600
1997-04-14,18500000,18875000,18375000,18875000,17530249,20300
1997-04-15,18625000,18750000,18500000,18625000,17298063,40800
1997-04-16,18500000,19000000,18500000,18500000,17181967,2200
1997-04-17,18625000,18625000,18500000,18500000,17181967,1000
1997-04-18,18500000,19000000,18500000,18500000,17181967,3000
1997-04-21,18500000,19000000,18500000,18500000,17181967,2900
1997-04-22,18500000,18500000,18500000,18500000,17181967,2600
1997-04-23,18500000,18625000,18250000,18625000,17298063,22500
1997-04-24,18750000,18750000,17500000,17625000,16369308,58800
1997-04-25,17500000,18000000,17500000,17625000,16369308,17400
1997-04-28,17875000,17875000,17500000,17500000,16253212,37800
1997-04-29,17875000,17875000,17500000,17500000,16253212,14100
1997-04-30,17500000,17500000,17000000,17000000,15788838,5800
1997-05-01,17500000,17750000,17375000,17750000,16485405,36300
1997-05-02,17750000,17875000,17500000,17875000,16601496,17700
1997-05-05,17500000,18500000,17500000,18500000,17181967,65100
1997-05-06,18625000,19500000,18250000,19500000,18110723,227000
1997-05-07,20000000,20250000,19500000,20000000,18575102,75600
1997-05-08,20000000,20000000,19125000,19125000,17762440,5600
1997-05-09,19000000,19625000,18812500,19000000,17646347,56400
1997-05-12,18750000,19625000,18625000,18875000,17530249,45700
1997-05-13,18875000,19250000,18875000,19125000,17762440,1400
1997-05-14,19000000,19250000,19000000,19000000,17646347,2000
1997-05-15,18750000,18875000,18312500,18312500,17007828,38700
1997-05-16,18750000,18750000,18000000,18250000,16949781,44100
1997-05-19,18625000,18625000,17703100,18000000,16717588,37000
1997-05-20,17750000,18250000,17750000,18125000,16833687,94200
1997-05-21,17625000,18250000,17625000,18250000,16949781,242900
1997-05-22,18250000,18250000,17750000,18125000,16833687,15300
1997-05-23,17750000,18250000,17750000,17750000,16485405,5600
1997-05-27,17750000,18250000,17750000,18000000,16717588,6600
