,Date,IDR,USD,Euro,GBP,RMB,IHSG,Hang Seng,NASDAQ
0,Jul 08 2011,13122018.75,1541.5,1081.11,960.38,9965.8,4003.69,22726.43,2859.81
1,Jul 11 2011,13262193.0,1555.5,1111.87,979.04,10059.57,3995.59,22347.23,2802.62
2,Jul 12 2011,13283133.5,1550.5,1108.65,974.61,10035.15,3938.01,21663.16,2781.91
3,Jul 13 2011,13496502.5,1579.0,1115.0,981.75,10212.34,3980.84,21926.88,2796.92
4,Jul 14 2011,13570941.25,1590.5,1123.59,986.66,10270.81,3997.64,21940.2,2762.67
5,Jul 15 2011,13552980.0,1587.0,1123.66,984.58,10256.78,4023.2,21875.38,2789.8
6,Jul 19 2011,13684547.5,1601.0,1128.22,990.44,10347.9,4023.42,21902.4,2826.52
7,Jul 20 2011,13540475.0,1586.0,1117.18,982.74,10244.77,4050.63,22003.69,2814.23
8,Jul 21 2011,13666136.0,1601.0,1113.39,982.18,10329.01,4068.07,21987.29,2834.43
9,Jul 22 2011,13660254.0,1602.0,1115.17,982.13,10325.69,4106.82,22444.8,2858.83
10,Jul 25 2011,13751860.5,1613.5,1125.45,990.91,10399.01,4087.09,22293.29,2842.8
11,Jul 26 2011,13716438.75,1612.75,1113.36,984.07,10388.37,4132.78,22572.08,2839.96
12,Jul 27 2011,13792187.5,1625.0,1129.77,994.52,10470.36,4174.11,22541.69,2764.79
13,Jul 28 2011,13709909.5,1613.5,1128.32,987.97,10395.46,4145.83,22570.74,2766.25
14,Jul 29 2011,13846321.25,1628.5,1133.26,992.08,10482.0,4130.8,22440.25,2756.38
15,Aug 01 2011,13730580.0,1623.0,1142.88,998.22,10442.38,4193.44,22663.37,2744.61
16,Aug 02 2011,13867648.13,1637.75,1151.89,1004.97,10544.16,4177.85,22421.46,2669.24
17,Aug 03 2011,14155240.0,1669.25,1167.96,1017.18,10740.12,4136.51,21992.72,2693.07
18,Aug 04 2011,14274070.5,1679.5,1186.38,1028.92,10814.3,4122.09,21884.74,2556.39
19,Aug 05 2011,14124256.25,1658.75,1168.71,1012.39,10683.01,3921.64,20946.14,2532.41
20,Aug 08 2011,14402351.0,1693.0,1193.22,1037.89,10896.15,3850.27,20490.57,2357.69
21,Aug 09 2011,14832384.0,1736.0,1220.73,1070.42,11163.52,3735.12,19330.7,2482.52
22,Aug 10 2011,15106300.0,1772.0,1249.43,1097.72,11372.87,3863.58,19783.67,2381.05
23,Aug 11 2011,15039200.0,1760.0,1233.44,1085.05,11254.32,3869.36,19595.14,2492.68
24,Aug 12 2011,14847140.0,1736.0,1221.2,1066.67,11092.17,3890.53,19620.01,2507.98
25,Aug 15 2011,14847582.0,1739.0,1203.84,1060.14,11112.91,3960.02,20260.1,2555.2
26,Aug 16 2011,15204725.0,1782.5,1237.98,1085.43,11377.34,3953.28,20212.08,2523.45
