,Date,IDR,USD,Euro,GBP,RMB,IHSG,Hang Seng,NASDAQ
0,Jan 15 2019,18241330.62,1294.4,1132.21,1010.7,8742.38,6408.78,26830.29,7023.83
1,Jan 16 2019,18250503.99,1292.3,1134.14,1004.86,8728.06,6413.36,26902.1,7034.69
2,Jan 17 2019,18302125.31,1290.7,1134.23,999.85,8744.1,6423.78,26755.63,7084.46
3,Jan 18 2019,18203534.31,1284.2,1129.81,995.04,8693.78,6448.16,27090.81,7157.23
4,Jan 22 2019,18225049.42,1282.1,1128.96,989.35,8731.23,6468.56,27005.45,7020.36
5,Jan 23 2019,18147561.23,1279.8,1124.7,979.79,8686.64,6451.17,27008.2,7025.77
6,Jan 24 2019,18183609.81,1283.7,1130.67,984.13,8721.07,6466.65,27120.98,7073.46
7,Jan 25 2019,18224580.12,1293.9,1135.2,982.5,8751.29,6482.84,27569.19,7164.86
8,Jan 28 2019,18321249.13,1302.15,1138.69,989.81,8775.06,6458.71,27576.96,7085.69
9,Jan 29 2019,18429914.5,1307.55,1145.47,994.64,8801.12,6436.48,27531.68,7028.29
10,Jan 30 2019,18520190.31,1310.7,1147.17,1002.83,8800.04,6464.19,27642.85,7183.08
11,Jan 31 2019,18489110.63,1323.25,1153.21,1005.93,8873.05,6532.97,27942.47,7281.74
12,Feb 01 2019,18382677.32,1318.7,1149.9,1007.18,8882.76,6538.64,27930.74,7263.87
13,Feb 04 2019,18311051.89,1312.15,1148.14,1002.94,8838.64,6481.45,27990.21,7347.54
14,Feb 08 2019,18365822.75,1314.85,1160.71,1015.8,8856.83,6521.66,27946.32,7298.2
15,Feb 12 2019,18429735.0,1310.0,1159.34,1016.81,8880.23,6426.33,28171.33,7414.62
16,Feb 13 2019,18454683.25,1312.8,1163.06,1019.1,8874.0,6419.12,28497.59,7420.38
17,Feb 14 2019,18478329.81,1311.45,1163.15,1026.13,8879.96,6420.02,28432.05,7426.95
18,Feb 15 2019,18619305.61,1316.55,1168.86,1024.75,8927.13,6389.08,27900.84,7472.41
19,Feb 19 2019,18816183.15,1334.15,1177.07,1023.79,9028.86,6494.67,28228.13,7486.77
20,Feb 20 2019,18869609.38,1343.75,1184.03,1028.59,9035.91,6512.78,28514.05,7489.07
21,Feb 21 2019,18724696.88,1331.25,1173.17,1018.83,8934.02,6537.77,28629.92,7459.71
22,Feb 22 2019,18682453.1,1329.05,1172.05,1017.88,8929.35,6501.38,28816.3,7527.55
23,Feb 25 2019,18657990.64,1331.05,1172.99,1018.67,8909.91,6525.36,28959.3,7554.46
24,Feb 26 2019,18536784.24,1325.05,1166.57,1000.87,8872.0,6540.95,28772.06,7549.3
25,Feb 27 2019,18559583.44,1322.85,1162.18,991.94,8841.27,6525.68,28757.44,7554.51
26,Feb 28 2019,18557141.25,1319.15,1158.47,991.77,8820.1,6443.35,28633.18,7532.53
27,Mar 01 2019,18518173.56,1311.95,1152.1,990.64,8800.3,6499.88,28812.17,7595.35
28,Mar 04 2019,18162700.62,1285.4,1135.36,975.86,8610.64,6488.42,28959.59,7577.57
29,Mar 05 2019,18136881.74,1283.8,1135.55,979.1,8606.46,6441.28,28961.6,7576.36
30,Mar 06 2019,18182559.85,1285.85,1136.16,977.72,8629.34,6457.96,29037.6,7505.92
31,Mar 08 2019,18559734.38,1296.75,1154.26,996.2,8722.59,6383.07,28228.42,7408.14
32,Mar 11 2019,18473397.5,1292.75,1151.77,987.06,8694.65,6366.43,28503.3,7558.06
33,Mar 12 2019,18502415.46,1297.05,1150.43,990.46,8705.02,6353.77,28920.87,7591.03
34,Mar 13 2019,18643641.05,1306.95,1155.62,988.09,8768.59,6377.58,28807.45,7643.4
35,Mar 14 2019,18483609.06,1295.55,1146.05,975.34,8702.21,6413.27,28851.39,7630.91
36,Mar 15 2019,18586606.5,1303.5,1150.89,981.81,8749.74,6461.18,29012.26,7688.53
37,Mar 18 2019,18588477.91,1305.6,1151.58,987.59,8763.58,6509.45,29409.01,7714.48
38,Mar 19 2019,18608570.31,1307.7,1152.51,985.98,8781.34,6480.28,29466.28,7723.95
39,Mar 20 2019,18492983.81,1303.7,1148.43,988.51,8733.75,6482.71,29320.97,7728.97
40,Mar 22 2019,18574561.73,1311.3,1162.19,991.91,8793.58,6525.27,29113.36,7642.67
41,Mar 25 2019,18711216.23,1319.55,1165.42,999.62,8856.55,6411.25,28523.35,7637.54
42,Mar 26 2019,18651968.23,1316.3,1166.88,996.22,8836.19,6470.0,28566.91,7691.52
43,Mar 27 2019,18591190.81,1309.7,1163.97,992.87,8803.15,6444.74,28728.25,7643.38
44,Mar 28 2019,18445524.91,1295.15,1152.78,989.72,8715.06,6480.79,28775.21,7669.17
45,Mar 29 2019,18446494.61,1295.4,1153.67,994.13,8705.35,6468.75,29051.36,7729.32
46,Apr 01 2019,18400037.5,1293.5,1152.75,984.02,8680.29,6452.61,29562.02,7828.91
47,Apr 02 2019,18348063.22,1290.3,1153.03,990.18,8672.75,6476.07,29624.67,7848.69
48,Apr 04 2019,18195065.62,1283.15,1143.98,981.0,8620.84,6494.63,29936.32,7891.78
49,Apr 08 2019,18411900.0,1300.0,1154.38,996.28,8736.39,6425.73,30077.15,7953.88
50,Apr 09 2019,18415299.0,1303.0,1155.86,998.74,8746.39,6484.35,30157.49,7909.28
51,Apr 10 2019,18472116.81,1305.45,1160.3,997.36,8768.97,6478.33,30119.56,7964.24
52,Apr 11 2019,18358535.24,1298.8,1152.13,992.55,8723.65,6410.17,29839.45,7947.36
53,Apr 12 2019,18239920.0,1294.3,1143.98,987.94,8690.58,6405.87,29909.76,7984.16
54,Apr 15 2019,18076237.63,1285.65,1136.79,980.29,8621.57,6435.15,29810.72,7976.01
55,Apr 16 2019,17977387.69,1276.35,1129.51,977.75,8560.99,6481.54,30129.87,8000.23
56,Apr 18 2019,17914016.56,1275.7,1134.61,980.59,8553.57,6507.22,29963.26,7998.06
57,Apr 23 2019,17871386.25,1269.5,1132.77,981.18,8530.02,6462.82,29963.24,8120.82
58,Apr 24 2019,17930263.62,1271.65,1135.15,981.55,8542.31,6447.88,29805.83,8102.02
59,Apr 25 2019,18168145.23,1280.8,1149.32,992.33,8635.41,6372.79,29549.8,8118.68
60,Apr 26 2019,18219586.81,1284.2,1150.46,992.77,8653.07,6401.08,29605.01,8146.4
61,May 07 2019,18295535.3,1281.2,1145.16,981.76,8661.3,6297.32,29363.02,7963.76
62,May 08 2019,18371933.3,1285.2,1147.3,988.77,8702.34,6270.2,29003.2,7943.32
63,May 09 2019,18455532.9,1286.1,1145.29,987.79,8773.26,6198.8,28311.07,7910.59
64,May 10 2019,18437705.4,1287.1,1144.7,987.57,8767.47,6209.12,28550.24,7916.94
65,May 14 2019,18735910.59,1298.4,1158.05,1005.19,8940.26,6071.2,28122.02,7734.49
66,May 15 2019,18784983.88,1299.1,1159.24,1009.79,8927.67,5980.88,28268.71,7822.15
67,May 16 2019,18665064.29,1291.7,1155.47,1009.81,8889.61,5895.74,28275.07,7898.05
68,May 17 2019,18507557.18,1280.8,1147.72,1005.77,8854.81,5826.87,27946.46,7816.28
69,May 20 2019,18456864.63,1276.85,1143.62,1002.63,8828.52,5907.12,27787.61,7702.38
70,May 21 2019,18406250.59,1271.15,1136.83,994.33,8792.03,5951.37,27657.24,7785.72
71,May 22 2019,18501942.16,1273.8,1142.01,1006.24,8793.68,5939.64,27705.94,7750.84
72,May 23 2019,18561577.59,1283.65,1151.26,1013.22,8880.93,6032.7,27267.13,7628.28
73,May 24 2019,18458381.25,1282.5,1144.68,1010.48,8855.66,6057.35,27353.93,7637.01
74,May 28 2019,18375559.69,1278.3,1144.0,1008.56,8836.89,6033.14,27390.81,7607.35
75,May 29 2019,18455758.59,1281.65,1150.24,1014.65,8856.07,6104.11,27235.71,7547.31
76,May 31 2019,18490734.59,1295.55,1162.61,1027.89,8943.18,6209.12,26901.09,7453.15
77,Jun 10 2019,18932547.91,1328.6,1174.19,1046.97,9210.78,6289.61,27578.64,7823.17
78,Jun 11 2019,18851407.72,1324.3,1170.45,1041.2,9155.81,6305.99,27789.34,7822.57
79,Jun 12 2019,18966000.16,1332.35,1176.94,1047.12,9215.73,6276.18,27308.46,7792.72
80,Jun 13 2019,19076650.61,1335.9,1185.1,1053.22,9247.63,6273.08,27294.71,7837.13
81,Jun 14 2019,19360034.38,1351.25,1203.79,1071.74,9355.51,6250.27,27118.35,7796.66
82,Jun 17 2019,19227532.7,1341.3,1194.82,1068.21,9288.5,6190.52,27227.16,7845.02
83,Jun 18 2019,19208129.9,1341.35,1199.19,1069.49,9290.72,6257.33,27498.77,7953.88
84,Jun 19 2019,19178918.69,1344.05,1198.39,1064.05,9279.18,6339.26,28202.14,7987.32
85,Jun 20 2019,19564758.75,1379.5,1221.77,1086.18,9450.26,6335.7,28550.43,8051.34
86,Jun 21 2019,19776656.87,1397.15,1234.18,1100.51,9604.43,6315.44,28473.71,8031.71
87,Jun 24 2019,19876597.31,1405.7,1234.21,1104.68,9669.67,6288.46,28513.0,8005.7
88,Jun 25 2019,20218523.62,1431.4,1257.55,1125.23,9848.6,6320.44,28185.98,7884.72
89,Jun 26 2019,19900990.56,1403.95,1234.08,1107.43,9666.9,6310.49,28221.98,7909.97
90,Jun 27 2019,19831350.0,1402.5,1233.67,1106.38,9644.99,6352.71,28621.42,7967.76
91,Jun 28 2019,19905647.5,1409.0,1237.27,1107.1,9677.43,6358.63,28542.62,8006.24
92,Jul 02 2019,19665966.61,1391.05,1231.56,1104.58,9573.48,6384.9,28875.56,8109.09
93,Jul 03 2019,19955086.25,1413.5,1252.94,1125.13,9730.53,6362.62,28855.14,8170.23
94,Jul 05 2019,19555662.25,1388.65,1237.38,1110.21,9551.13,6373.48,28774.83,8161.79
95,Jul 08 2019,19755408.93,1400.1,1248.36,1118.78,9631.71,6351.83,28331.69,8098.38
96,Jul 09 2019,19662598.74,1391.55,1241.74,1116.28,9580.26,6388.32,28116.28,8141.73
97,Jul 10 2019,19899276.24,1408.3,1251.71,1127.09,9689.95,6410.68,28204.69,8202.53
98,Jul 11 2019,19884393.75,1413.75,1256.33,1127.62,9707.65,6417.07,28431.8,8196.04
99,Jul 12 2019,19716251.15,1407.6,1250.92,1120.61,9681.89,6373.35,28471.62,8244.14
100,Jul 16 2019,19646257.71,1409.85,1256.16,1135.33,9695.4,6401.88,28619.62,8222.8
101,Jul 17 2019,19716690.95,1410.35,1256.38,1134.63,9702.92,6394.61,28593.17,8185.21
