,Date,IDR,USD,Euro,GBP,RMB,IHSG,Hang Seng,NASDAQ
0,Apr 26 2019,18219586.81,1284.2,1150.46,992.77,8653.07,6401.08,29605.01,8146.4
1,May 07 2019,18295535.3,1281.2,1145.16,981.76,8661.3,6297.32,29363.02,7963.76
2,May 08 2019,18371933.3,1285.2,1147.3,988.77,8702.34,6270.2,29003.2,7943.32
3,May 09 2019,18455532.9,1286.1,1145.29,987.79,8773.26,6198.8,28311.07,7910.59
4,May 10 2019,18437705.4,1287.1,1144.7,987.57,8767.47,6209.12,28550.24,7916.94
5,May 14 2019,18735910.59,1298.4,1158.05,1005.19,8940.26,6071.2,28122.02,7734.49
6,May 15 2019,18784983.88,1299.1,1159.24,1009.79,8927.67,5980.88,28268.71,7822.15
7,May 16 2019,18665064.29,1291.7,1155.47,1009.81,8889.61,5895.74,28275.07,7898.05
8,May 17 2019,18507557.18,1280.8,1147.72,1005.77,8854.81,5826.87,27946.46,7816.28
9,May 20 2019,18456864.63,1276.85,1143.62,1002.63,8828.52,5907.12,27787.61,7702.38
10,May 21 2019,18406250.59,1271.15,1136.83,994.33,8792.03,5951.37,27657.24,7785.72
11,May 22 2019,18501942.16,1273.8,1142.01,1006.24,8793.68,5939.64,27705.94,7750.84
12,May 23 2019,18561577.59,1283.65,1151.26,1013.22,8880.93,6032.7,27267.13,7628.28
13,May 24 2019,18458381.25,1282.5,1144.68,1010.48,8855.66,6057.35,27353.93,7637.01
14,May 28 2019,18375559.69,1278.3,1144.0,1008.56,8836.89,6033.14,27390.81,7607.35
15,May 29 2019,18455758.59,1281.65,1150.24,1014.65,8856.07,6104.11,27235.71,7547.31
16,May 31 2019,18490734.59,1295.55,1162.61,1027.89,8943.18,6209.12,26901.09,7453.15
17,Jun 10 2019,18932547.91,1328.6,1174.19,1046.97,9210.78,6289.61,27578.64,7823.17
18,Jun 11 2019,18851407.72,1324.3,1170.45,1041.2,9155.81,6305.99,27789.34,7822.57
